Date,Open,High,Low,Close,Volume
07/12/2023,"97.51","97.85","97.45","97.80","7,189,081"
07/11/2023,"96.94","97.10","96.86","97.01","5,978,640"
07/10/2023,"96.57","96.94","96.55","96.80","8,827,490"
07/07/2023,"96.42","96.75","96.42","96.53","8,311,015"
07/06/2023,"96.56","96.64","96.28","96.51","9,534,231"
07/05/2023,"97.51","97.53","97.05","97.14","6,046,567"
07/03/2023,"97.82","98.04","97.54","97.58","3,691,597"
06/30/2023,"97.86","98.10","97.74","97.95","13,417,260"
06/29/2023,"97.80","97.87","97.61","97.72","8,877,566"
06/28/2023,"98.34","98.54","98.20","98.48","8,622,853"
06/27/2023,"98.45","98.59","98.10","98.19","7,803,348"
06/26/2023,"98.50","98.51","98.31","98.38","10,632,270"
06/23/2023,"98.49","98.50","98.10","98.26","4,792,937"
06/22/2023,"98.17","98.33","97.92","97.97","7,147,656"
06/21/2023,"98.09","98.53","97.98","98.48","5,579,941"
06/20/2023,"98.28","98.51","98.17","98.32","6,694,188"
06/16/2023,"98.09","98.28","97.91","98.14","5,653,727"
06/15/2023,"98.29","98.46","98.13","98.45","7,471,994"
06/14/2023,"97.88","97.99","97.45","97.77","8,360,159"
06/13/2023,"98.48","98.48","97.60","97.68","9,568,345"
06/12/2023,"98.09","98.16","97.73","98.14","5,436,273"
06/09/2023,"97.91","98.05","97.79","97.97","7,140,768"
06/08/2023,"97.80","98.21","97.77","98.20","5,041,870"
06/07/2023,"98.15","98.22","97.59","97.68","5,131,567"
06/06/2023,"98.12","98.21","97.89","98.20","3,815,981"
06/05/2023,"97.85","98.32","97.76","98.08","7,562,834"
06/02/2023,"98.54","98.58","98.08","98.09","6,877,188"
06/01/2023,"98.60","98.80","98.48","98.61","9,029,803"
05/31/2023,"98.22","98.72","98.21","98.57","10,560,020"
05/30/2023,"97.90","98.24","97.85","98.22","7,349,896"
05/26/2023,"97.36","97.59","97.24","97.57","3,889,853"
05/25/2023,"97.74","97.80","97.44","97.49","5,941,485"
05/24/2023,"98.17","98.19","97.82","97.85","7,719,174"
05/23/2023,"97.92","98.21","97.81","98.10","7,641,202"
05/22/2023,"98.14","98.33","97.97","97.99","8,551,145"
05/19/2023,"98.13","98.44","98.00","98.08","10,285,870"
05/18/2023,"98.49","98.51","98.27","98.30","4,811,544"
05/17/2023,"98.99","99.03","98.68","98.76","6,318,677"
