Date,Open,High,Low,Close,Volume
02/22/2023,"170.81","170.96","169.56","169.66","4,105,675"
02/21/2023,"171.20","171.50","170.34","170.62","4,035,933"
02/17/2023,"169.87","171.47","169.52","171.26","4,809,799"
02/16/2023,"170.34","171.60","169.96","170.75","4,540,398"
02/15/2023,"170.60","170.99","170.16","170.89","5,435,337"
02/14/2023,"171.97","173.51","171.41","172.61","5,403,099"
02/13/2023,"172.70","172.90","172.07","172.48","3,970,786"
02/10/2023,"173.63","173.68","172.63","173.36","2,971,125"
02/09/2023,"175.49","175.52","172.87","173.03","5,361,340"
02/08/2023,"174.94","174.99","173.83","174.41","4,075,638"
02/07/2023,"173.72","175.27","173.47","173.98","6,794,153"
02/06/2023,"174.11","174.46","173.28","173.82","8,956,963"
02/03/2023,"174.92","175.43","173.12","173.46","13,674,440"
02/02/2023,"181.08","181.11","177.74","177.90","8,842,396"
02/01/2023,"179.75","181.73","178.63","181.67","7,996,005"
01/31/2023,"178.82","179.70","178.54","179.41","5,976,888"
01/30/2023,"179.29","179.43","178.65","178.76","4,210,726"
01/27/2023,"179.27","179.72","178.26","179.22","6,052,728"
01/26/2023,"180.15","180.27","178.46","179.47","5,860,129"
01/25/2023,"179.35","181.22","179.29","181.11","6,925,348"
01/24/2023,"179.56","180.32","178.35","180.28","4,604,628"
01/23/2023,"178.35","179.69","177.78","179.63","5,265,507"
01/20/2023,"179.06","179.66","178.65","179.29","5,754,818"
01/19/2023,"178.37","180.03","178.09","179.89","6,678,687"
01/18/2023,"178.92","179.18","176.90","177.08","5,384,664"
01/17/2023,"178.21","178.24","177.09","177.59","6,610,834"
01/13/2023,"176.96","178.83","176.89","178.76","7,468,768"
01/12/2023,"176.01","176.71","174.88","176.64","6,936,919"
01/11/2023,"174.76","174.79","173.72","174.62","3,374,201"
01/10/2023,"174.61","174.98","174.06","174.74","4,398,411"
01/09/2023,"174.51","175.04","173.88","174.10","5,134,503"
01/06/2023,"171.76","173.96","171.23","173.71","7,888,954"
01/05/2023,"170.82","171.00","169.79","170.52","4,692,610"
01/04/2023,"172.86","173.09","171.85","172.67","7,574,633"
01/03/2023,"171.32","172.09","170.02","171.06","7,992,927"
12/30/2022,"169.26","169.90","168.80","169.64","2,864,455"
12/29/2022,"168.54","169.35","168.52","168.85","3,345,874"
