Date,Open,High,Low,Close,Volume
03/10/2023,"390.99","393.16","384.32","385.91","189,252,984"
03/09/2023,"399.74","401.48","390.53","391.56","111,945,297"
03/08/2023,"398.39","399.71","396.59","398.92","74,746,633"
03/07/2023,"404.42","404.67","397.63","398.27","108,310,602"
03/06/2023,"405.05","407.45","404.01","404.47","72,795,953"
03/03/2023,"399.71","404.45","399.03","404.19","90,119,953"
03/02/2023,"392.68","398.69","392.33","397.81","85,404,727"
03/01/2023,"395.41","396.69","393.38","394.74","99,706,812"
02/28/2023,"397.23","399.28","396.15","396.26","96,438,570"
02/27/2023,"399.87","401.29","396.75","397.73","80,444,734"
02/24/2023,"395.42","397.25","393.64","396.38","108,194,398"
02/23/2023,"401.56","402.20","396.25","400.66","96,242,398"
02/22/2023,"399.52","401.13","397.02","398.54","83,742,289"
02/21/2023,"403.06","404.16","398.82","399.09","82,655,922"
02/17/2023,"406.06","407.51","404.05","407.26","89,257,820"
02/16/2023,"408.79","412.91","408.14","408.28","76,431,469"
02/15/2023,"410.35","414.06","409.47","413.98","61,685,281"
02/14/2023,"411.24","415.05","408.51","412.64","88,389,312"
02/13/2023,"408.72","412.97","408.24","412.83","64,913,539"
02/10/2023,"405.86","408.44","405.01","408.04","70,769,719"
02/09/2023,"414.41","414.57","405.81","407.09","78,694,867"
02/08/2023,"413.13","414.53","409.93","410.65","76,227,453"
02/07/2023,"408.87","416.49","407.57","415.19","90,990,750"
02/06/2023,"409.79","411.29","408.10","409.83","60,295,328"
02/03/2023,"411.59","416.97","411.09","412.35","94,736,781"
02/02/2023,"414.86","418.31","412.88","416.78","101,654,492"
02/01/2023,"405.21","413.67","402.35","410.80","101,459,203"
01/31/2023,"401.13","406.53","400.77","406.48","86,811,789"
01/30/2023,"402.80","405.13","400.28","400.59","74,202,016"
01/27/2023,"403.66","408.16","403.44","405.68","68,346,180"
01/26/2023,"403.13","404.92","400.03","404.75","72,287,430"
01/25/2023,"395.95","400.70","393.56","400.35","84,800,250"
01/24/2023,"398.88","401.15","397.64","400.20","59,524,910"
01/23/2023,"396.72","402.65","395.72","400.63","84,178,797"
01/20/2023,"390.10","396.04","388.38","395.88","91,806,359"
01/19/2023,"389.36","391.08","387.26","388.64","86,958,922"
01/18/2023,"399.01","400.12","391.28","391.49","99,632,258"
01/17/2023,"398.48","400.23","397.06","397.77","62,677,281"
01/13/2023,"393.62","399.10","393.34","398.50","63,903,930"
01/12/2023,"396.67","398.49","392.42","396.96","90,157,695"
01/11/2023,"392.23","395.60","391.38","395.52","68,881,078"
01/10/2023,"387.25","390.65","386.27","390.58","65,358,090"
01/09/2023,"390.37","393.70","387.67","387.86","73,978,070"
01/06/2023,"382.61","389.25","379.41","388.08","104,189,602"
01/05/2023,"381.72","381.84","378.76","379.38","76,970,461"
01/04/2023,"383.18","385.88","380.00","383.76","85,934,094"
01/03/2023,"384.37","386.43","377.83","380.82","74,850,727"
12/30/2022,"380.64","382.58","378.43","382.43","84,022,211"
12/29/2022,"379.63","384.35","379.08","383.44","66,970,883"
